irradiation date,cell line,radiation type,sample_id,dose,image_nr,nuclei,micronuclei
03JUN2022,A549,xray,1,0,28,2,0
03JUN2022,A549,xray,1,0,28,3,0
03JUN2022,A549,xray,1,0,28,3,1
03JUN2022,A549,xray,1,0,28,1,0
03JUN2022,A549,xray,1,0,28,2,0
03JUN2022,A549,xray,1,0,28,1,1
03JUN2022,A549,xray,1,0,28,4,0
03JUN2022,A549,xray,1,0,28,2,0
03JUN2022,A549,xray,1,0,28,1,0
03JUN2022,A549,xray,1,0,5,0,2
03JUN2022,A549,xray,1,0,5,2,0
03JUN2022,A549,xray,1,0,5,3,0
03JUN2022,A549,xray,1,0,5,2,0
03JUN2022,A549,xray,1,0,5,2,0
03JUN2022,A549,xray,1,0,5,2,0
03JUN2022,A549,xray,1,0,5,3,0
03JUN2022,A549,xray,1,0,5,2,0
03JUN2022,A549,xray,1,0,5,3,0
03JUN2022,A549,xray,1,0,5,2,0
03JUN2022,A549,xray,1,0,5,2,1
03JUN2022,A549,xray,1,0,5,2,0
03JUN2022,A549,xray,1,0,4,1,0
03JUN2022,A549,xray,1,0,4,2,0
03JUN2022,A549,xray,1,0,4,2,0
03JUN2022,A549,xray,1,0,4,0,0
03JUN2022,A549,xray,1,0,4,1,2
03JUN2022,A549,xray,1,0,4,1,1
03JUN2022,A549,xray,1,0,4,0,0
03JUN2022,A549,xray,1,0,4,2,0
03JUN2022,A549,xray,1,0,4,2,0
03JUN2022,A549,xray,1,0,23,1,0
03JUN2022,A549,xray,1,0,23,3,0
03JUN2022,A549,xray,1,0,22,0,1
03JUN2022,A549,xray,1,0,22,2,0
03JUN2022,A549,xray,1,0,22,2,0
03JUN2022,A549,xray,1,0,22,2,0
03JUN2022,A549,xray,1,0,22,0,1
03JUN2022,A549,xray,1,0,22,1,2
03JUN2022,A549,xray,1,0,22,1,1
03JUN2022,A549,xray,1,0,22,3,1
03JUN2022,A549,xray,1,0,22,2,0
03JUN2022,A549,xray,1,0,22,1,0
03JUN2022,A549,xray,1,0,22,1,1
03JUN2022,A549,xray,1,0,10,2,0
03JUN2022,A549,xray,1,0,10,2,0
03JUN2022,A549,xray,1,0,10,2,0
03JUN2022,A549,xray,1,0,11,2,0
03JUN2022,A549,xray,1,0,11,2,0
03JUN2022,A549,xray,1,0,9,1,0
03JUN2022,A549,xray,1,0,9,1,0
03JUN2022,A549,xray,1,0,9,0,1
03JUN2022,A549,xray,1,0,9,1,0
03JUN2022,A549,xray,1,0,9,1,0
03JUN2022,A549,xray,1,0,2,3,0
03JUN2022,A549,xray,1,0,2,0,0
03JUN2022,A549,xray,1,0,2,3,0
03JUN2022,A549,xray,1,0,2,2,0
03JUN2022,A549,xray,1,0,2,1,1
03JUN2022,A549,xray,1,0,2,4,3
03JUN2022,A549,xray,1,0,2,3,0
03JUN2022,A549,xray,1,0,3,1,0
03JUN2022,A549,xray,1,0,3,1,0
03JUN2022,A549,xray,1,0,3,1,0
03JUN2022,A549,xray,1,0,3,1,0
03JUN2022,A549,xray,1,0,3,1,2
03JUN2022,A549,xray,1,0,24,2,0
03JUN2022,A549,xray,1,0,24,3,0
03JUN2022,A549,xray,1,0,24,2,0
03JUN2022,A549,xray,1,0,24,3,0
